Date,Code,weigh,temperature,Humidity(out),PH,Humidity,sum,result
7,B11,0,25,75,7,8,0,fail
8,B11,0,25,75,7,8.5,0,fail
9,B11,0,25,75,7,4.7,30,fail
10,B11,0,25,75,7,5,0,fail
11,B11,40,25,75,7,5.3,120,bad
12,B11,0,25,75,7.2,6.7,0,fail
13,B11,0,25,75,7.2,5.8,0,fail
14,B11,0,25,75,7.2,4.8,0,fail
15,B11,0,25,75,7.2,4.9,0,fail
16,B11,0,25,75,7.2,5.5,0,fail
17,B11,0,25,75,7.2,6.7,0,fail
18,B11,0,25,75,7.2,8,0,fail
19,B11,0,25,75,7.2,6.2,0,fail
20,B11,0,25,75,7.2,5,0,fail
21,B11,0,25,75,7.2,5.5,0,fail
22,B11,0,25,75,7.2,4.8,0,fail
23,B11,0,25,75,7,4.8,0,fail
24,B11,0,25,75,7,6.5,0,fail
25,B11,0,25,75,7,5.8,0,fail
26,B11,0,25,75,7,7,0,fail
27,B11,0,25,75,7,7.3,0,fail
28,B11,0,25,75,7,7.8,0,fail
29,B11,135,25,75,7,9.5,255,over
1,B12,0,25,75,7,9,0,fail
2,B12,0,25,75,7,9.2,0,fail
3,B12,0,25,75,7,8.8,0,fail
4,B12,0,25,75,7,8.5,0,fail
5,B12,0,25,75,7,7,0,fail
6,B12,0,25,75,7,7.8,0,fail
7,B12,0,25,75,7,6.2,0,fail
8,B12,0,25,75,7,8,0,fail
9,B12,90,25,75,7,9,90,good
10,B12,60,25,75,7,6.7,150,normal
11,B12,0,25,75,7,6.5,0,fail
12,B12,0,25,75,7,8,0,fail
13,B12,0,25,75,7,7.5,0,fail
14,B12,0,25,75,7.2,8,0,fail
15,B12,0,25,75,7.2,6.5,0,fail
16,B12,0,25,75,7.2,5,0,fail
17,B12,0,25,75,7.2,4.8,0,fail
18,B12,0,25,75,7.2,4.7,0,fail
19,B12,0,25,75,7.2,5,0,fail
20,B12,0,25,75,7.2,6.7,0,fail
21,B12,0,25,75,7.2,6,0,fail
22,B12,0,25,75,7.2,6.2,0,fail
23,B12,0,25,75,7.2,7.8,0,fail
24,B12,0,25,75,7.2,6.2,0,fail
25,B12,0,25,75,7.2,7,0,fail
26,B12,0,25,75,7.2,7.5,0,fail
27,B12,0,25,75,7.2,6.2,0,fail
28,B12,0,25,75,7.2,6,0,fail
29,B12,20,25,75,7.2,4.9,170,very bad
1,B13,0,25,75,6.8,9,0,fail
2,B13,0,25,75,6.8,9.2,0,fail
3,B13,0,25,75,6.8,9.5,0,fail
4,B13,0,25,75,6.8,6.8,0,fail
5,B13,0,25,75,7,8.5,0,fail
6,B13,0,25,75,7,7.8,0,fail
7,B13,0,25,75,7,7.2,0,fail
8,B13,0,25,75,7,6.5,0,fail
9,B13,70,25,75,7,8.3,70,normal
10,B13,0,25,75,7,8.8,0,fail
11,B13,0,25,75,7,8,0,fail
12,B13,0,25,75,7,8.2,0,fail
13,B13,0,25,75,7,7,0,fail
14,B13,0,25,75,7,8.5,0,fail
15,B13,0,25,75,7,8.2,0,fail
16,B13,0,25,75,7,7,0,fail
17,B13,70,25,75,7,8,140,normal
18,B13,0,25,75,7,6.5,0,fail
19,B13,0,25,75,7,6.8,0,fail
20,B13,0,25,75,7,8,0,fail
21,B13,0,25,75,7,7.2,0,fail
22,B13,0,25,75,7.2,6.5,0,fail
23,B13,0,25,75,7.2,6.2,0,fail
24,B13,0,25,75,7.2,5.5,0,fail
25,B13,0,25,75,7.2,4.8,0,fail
26,B13,0,25,75,7.2,6.5,0,fail
27,B13,0,25,75,7.2,6.2,0,fail
28,B13,0,25,75,7.2,7,0,fail
29,B13,0,25,75,7.2,8,0,fail
1,B14,0,25,75,7,7,0,fail
2,B14,0,25,75,7,6.5,0,fail
3,B14,0,25,75,7,5.2,0,fail
4,B14,80,25,75,7,7.5,80,good
5,B14,0,25,75,7,8,0,fail
6,B14,0,25,75,7,7.2,0,fail
7,B14,0,25,75,7,8.5,0,fail
8,B14,0,25,75,7,8.5,0,fail
9,B14,0,25,75,7,9,0,fail
10,B14,0,25,75,7,8.8,0,fail
11,B14,0,25,75,7,8,0,fail
12,B14,0,25,75,7,8.2,0,fail
13,B14,0,25,75,7.2,7,0,fail
14,B14,0,25,75,7.2,7.8,0,fail
15,B14,0,25,75,7.2,6,0,fail
16,B14,0,25,75,7.2,6.5,0,fail
17,B14,0,25,75,7.2,5,0,fail
18,B14,0,25,75,7.2,6.5,0,fail
19,B14,0,25,75,7.2,4.8,0,fail
20,B14,0,25,75,7.2,7,0,fail
21,B14,0,25,75,7.2,5.5,0,fail
22,B14,0,25,75,7.2,6.7,0,fail
23,B14,0,25,75,7.2,8,0,fail
24,B14,0,25,75,7.2,9,0,fail
25,B14,50,25,75,7,6.2,130,bad
26,B14,0,25,75,7,7,0,fail
27,B14,0,25,75,7,4.7,0,fail
28,B14,0,25,75,7,5,0,fail
29,B14,0,25,75,7,8,0,fail
1,B15,0,25,75,7,7,0,fail
2,B15,0,25,75,7,6.5,0,fail
3,B15,20,25,75,7,4.7,20,very bad
4,B15,0,25,75,7,7,0,fail
5,B15,0,25,75,7,8,0,fail
6,B15,0,25,75,7,7.2,0,fail
7,B15,0,25,75,7,8.5,0,fail
8,B15,0,25,75,7,8.5,0,fail
9,B15,0,25,75,7,9,0,fail
10,B15,0,25,75,7,8.8,0,fail
11,B15,0,25,75,7,8,0,fail
12,B15,0,25,75,7,8.2,0,fail
13,B15,0,25,75,7,7,0,fail
14,B15,0,25,75,7,7.8,0,fail
15,B15,0,25,75,7,6,0,fail
16,B15,0,25,75,7,6.5,0,fail
17,B15,0,25,75,7.2,5,0,fail
18,B15,0,25,75,7.2,6.5,0,fail
19,B15,0,25,75,7.2,4.8,0,fail
20,B15,0,25,75,7.2,6.7,0,fail
21,B15,0,25,75,7.2,5.5,0,fail
22,B15,0,25,75,7.2,4.8,0,fail
23,B15,0,25,75,7.2,4.8,0,fail
24,B15,0,25,75,7.2,6.5,0,fail
25,B15,0,25,75,7.2,6.2,0,fail
26,B15,0,25,75,7.2,7,0,fail
27,B15,80,25,75,7.2,7.8,100,good
28,B15,0,25,75,7.2,7.9,0,fail
29,B15,0,25,75,7.2,8,0,fail
1,B16,0,25,75,7,7,0,fail
2,B16,30,25,75,7,4.8,30,very bad
3,B16,0,25,75,7,5,0,fail
4,B16,0,25,75,7,7.2,0,fail
5,B16,0,25,75,7,8,0,fail
6,B16,0,25,75,7,6.5,0,fail
7,B16,0,25,75,7,8.5,0,fail
8,B16,50,25,75,7,6.2,80,bad
9,B16,0,25,75,7,9,0,fail
10,B16,0,25,75,7,8.8,0,fail
11,B16,0,25,75,7,7,0,fail
12,B16,0,25,75,7,7.8,0,fail
13,B16,0,25,75,7,8,0,fail
14,B16,0,25,75,7,7.2,0,fail
15,B16,0,25,75,7,6,0,fail
16,B16,0,25,75,7,6.5,0,fail
17,B16,0,25,75,7,5,0,fail
18,B16,0,25,75,7,6.5,0,fail
19,B16,30,25,75,7,4.8,110,very bad
20,B16,0,25,75,7.2,6.7,0,fail
21,B16,0,25,75,7.2,5.5,0,fail
22,B16,0,25,75,7.2,4,0,fail
23,B16,0,25,75,7.2,6.5,0,fail
24,B16,0,25,75,7.2,6.7,0,fail
25,B16,0,25,75,7.2,5.8,0,fail
26,B16,0,25,75,7.2,7,0,fail
27,B16,0,25,75,7.2,4.7,0,fail
28,B16,0,25,75,7.2,7,0,fail
29,B16,0,25,75,7.2,8,0,fail
1,B17,135,25,75,7,9.2,135,over
2,B17,0,25,75,7,6.5,0,fail
3,B17,0,25,75,7,5.2,0,fail
4,B17,0,25,75,7,7.5,0,fail
5,B17,0,25,75,7,8,0,fail
6,B17,0,25,75,7,7.2,0,fail
7,B17,0,25,75,7,8.5,0,fail
8,B17,0,25,75,7,8.5,0,fail
9,B17,0,25,75,7,9,0,fail
10,B17,0,25,75,7,8.8,0,fail
11,B17,0,25,75,7,8,0,fail
12,B17,0,25,75,7,8.2,0,fail
13,B17,0,25,75,7,7,0,fail
14,B17,0,25,75,7,7.8,0,fail
15,B17,0,25,75,7,6,0,fail
16,B17,0,25,75,7,6.5,0,fail
17,B17,30,25,75,7,4.8,165,very bad
